iter	Passed	Remaining
315	9088	77196
316	9116	77157
317	9145	77130
318	9173	77098
319	9205	77097
320	9234	77071
321	9262	77036
322	9291	77009
323	9319	76969
324	9347	76935
325	9376	76911
326	9406	76888
327	9434	76856
328	9463	76830
329	9492	76803
330	9522	76782
331	9551	76756
332	9583	76753
333	9613	76731
334	9640	76695
335	9669	76669
336	9698	76641
337	9727	76607
338	9755	76575
339	9784	76551
340	9804	76450
341	9832	76415
342	9858	76369
343	9889	76359
344	9919	76338
345	9948	76310
346	9978	76291
347	10006	76256
348	10035	76229
349	10063	76193
350	10099	76220
351	10128	76195
352	10156	76160
353	10184	76126
354	10212	76092
355	10240	76052
356	10267	76012
357	10296	75985
358	10325	75959
359	10353	75923
360	10393	75978
361	10420	75935
362	10447	75894
363	10476	75865
364	10504	75836
365	10535	75821
366	10566	75806
367	10594	75774
368	10622	75741
369	10648	75694
370	10675	75648
371	10701	75604
372	10729	75566
373	10757	75532
374	10786	75504
375	10814	75470
376	10842	75436
377	10872	75413
378	10899	75373
379	10927	75341
380	10955	75307
381	10983	75274
382	11010	75235
383	11039	75203
384	11066	75169
385	11094	75133
386	11134	75179
387	11163	75150
388	11191	75116
389	11218	75080
390	11247	75048
391	11275	75017
392	11303	74985
393	11332	74953
394	11361	74929
395	11390	74898
396	11417	74862
397	11444	74821
398	11472	74784
399	11498	74738
400	11526	74706
401	11564	74738
